timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:43:13,287,50,56,85,-13.896200000000016,-0.4800000000000001
2021-04-11 17:43:13,304,50,56,85,-13.982600000000016,-0.4800000000000001
2021-04-11 17:43:13,323,50,56,85,-14.085200000000016,-0.5400000000000001
2021-04-11 17:43:13,344,50,56,85,-14.205200000000016,-0.6000000000000002
2021-04-11 17:43:13,362,50,56,85,-14.291600000000015,-0.4800000000000001
2021-04-11 17:43:13,381,50,56,85,-14.394200000000016,-0.5400000000000001
2021-04-11 17:43:13,397,50,56,85,-14.465600000000016,-0.42000000000000004
2021-04-11 17:43:13,414,50,56,85,-14.537000000000017,-0.42000000000000004
2021-04-11 17:43:13,430,50,56,85,-14.594600000000018,-0.36
2021-04-11 17:43:13,447,50,56,85,-14.666000000000018,-0.42000000000000004
2021-04-11 17:43:13,463,50,56,85,-14.737400000000019,-0.42000000000000004
2021-04-11 17:43:13,480,50,56,85,-14.79500000000002,-0.36
2021-04-11 17:43:13,497,50,56,85,-14.86640000000002,-0.42000000000000004
2021-04-11 17:43:13,514,50,56,85,-14.93780000000002,-0.42000000000000004
2021-04-11 17:43:13,531,50,56,85,-15.009200000000021,-0.42000000000000004
2021-04-11 17:43:13,547,50,56,85,-15.080600000000022,-0.42000000000000004
2021-04-11 17:43:13,564,50,56,85,-15.138200000000023,-0.36
2021-04-11 17:43:13,581,50,56,85,-15.209600000000023,-0.42000000000000004
2021-04-11 17:43:13,599,50,56,85,-15.296000000000022,-0.4800000000000001
2021-04-11 17:43:13,615,50,56,85,-15.367400000000023,-0.42000000000000004
2021-04-11 17:43:13,632,50,56,85,-15.425000000000024,-0.36
2021-04-11 17:43:13,649,50,56,85,-15.496400000000024,-0.42000000000000004
2021-04-11 17:43:13,666,50,56,85,-15.567800000000025,-0.42000000000000004
2021-04-11 17:43:13,683,50,56,85,-15.639200000000026,-0.42000000000000004
2021-04-11 17:43:13,699,50,56,85,-15.696800000000026,-0.36
2021-04-11 17:43:13,716,50,56,85,-15.768200000000027,-0.42000000000000004
2021-04-11 17:43:13,733,50,56,85,-15.854600000000026,-0.4800000000000001
2021-04-11 17:43:13,750,50,56,85,-15.912200000000027,-0.36
2021-04-11 17:43:13,767,50,56,85,-15.983600000000028,-0.42000000000000004
2021-04-11 17:43:13,785,50,56,85,-16.07000000000003,-0.4800000000000001
2021-04-11 17:43:13,804,50,56,85,-16.172600000000028,-0.5400000000000001
2021-04-11 17:43:13,824,50,56,85,-16.29260000000003,-0.6000000000000002
2021-04-11 17:43:13,843,50,56,85,-16.395200000000028,-0.5400000000000001
2021-04-11 17:43:13,862,50,56,85,-16.497800000000026,-0.5400000000000001
2021-04-11 17:43:13,881,50,56,85,-16.600400000000025,-0.5400000000000001
2021-04-11 17:43:13,899,50,56,85,-16.686800000000027,-0.4800000000000001
2021-04-11 17:43:13,917,50,56,85,-16.773200000000028,-0.4800000000000001
2021-04-11 17:43:13,936,50,56,85,-16.875800000000027,-0.5400000000000001
2021-04-11 17:43:13,953,50,56,85,-16.947200000000027,-0.42000000000000004
2021-04-11 17:43:13,972,50,56,85,-17.049800000000026,-0.5400000000000001
2021-04-11 17:43:13,990,50,56,85,-17.136200000000027,-0.4800000000000001
2021-04-11 17:43:14,010,50,56,85,-17.238800000000026,-0.5400000000000001
2021-04-11 17:43:14,026,50,56,85,-17.310200000000027,-0.42000000000000004
2021-04-11 17:43:14,043,50,56,85,-17.381600000000027,-0.42000000000000004
2021-04-11 17:43:14,060,50,66,85,-17.283000000000026,0.5800000000000001
2021-04-11 17:43:14,076,50,66,85,-17.180600000000027,0.6400000000000001
2021-04-11 17:43:14,093,50,66,85,-17.082000000000026,0.5800000000000001
2021-04-11 17:43:14,110,50,66,85,-16.983400000000024,0.5800000000000001
2021-04-11 17:43:14,128,50,66,85,-16.889800000000026,0.52
2021-04-11 17:43:14,144,50,66,85,-16.787400000000027,0.6400000000000001
2021-04-11 17:43:14,164,50,66,85,-16.70740000000003,0.3999999999999999
2021-04-11 17:43:14,180,50,66,85,-16.60500000000003,0.6400000000000001
2021-04-11 17:43:14,197,50,66,85,-16.506400000000028,0.5800000000000001
2021-04-11 17:43:14,213,50,66,85,-16.40400000000003,0.6400000000000001
2021-04-11 17:43:14,230,50,66,85,-16.305400000000027,0.5800000000000001
2021-04-11 17:43:14,247,50,66,85,-16.206800000000026,0.5800000000000001
2021-04-11 17:43:14,264,50,66,85,-16.104400000000027,0.6400000000000001
2021-04-11 17:43:14,281,50,66,85,-16.010800000000028,0.52
2021-04-11 17:43:14,300,50,66,85,-15.917200000000028,0.52
2021-04-11 17:43:14,318,50,66,85,-15.829800000000027,0.45999999999999996
2021-04-11 17:43:14,336,50,66,85,-15.731200000000028,0.5800000000000001
2021-04-11 17:43:14,353,50,66,85,-15.637600000000027,0.52
2021-04-11 17:43:14,371,50,66,85,-15.544000000000027,0.52
2021-04-11 17:43:14,389,50,66,85,-15.450400000000027,0.52
2021-04-11 17:43:14,407,50,66,85,-15.356800000000026,0.52
2021-04-11 17:43:14,425,50,66,85,-15.263200000000026,0.52
2021-04-11 17:43:14,442,50,66,85,-15.164600000000027,0.5800000000000001
2021-04-11 17:43:14,460,50,66,85,-15.066000000000027,0.5800000000000001
2021-04-11 17:43:14,477,50,66,85,-14.967400000000028,0.5800000000000001
2021-04-11 17:43:14,494,50,66,85,-14.873800000000028,0.52
2021-04-11 17:43:14,511,50,66,85,-14.775200000000028,0.5800000000000001
2021-04-11 17:43:14,528,50,66,85,-14.676600000000029,0.5800000000000001
2021-04-11 17:43:14,546,50,66,85,-14.583000000000029,0.52
2021-04-11 17:43:14,564,50,66,85,-14.489400000000028,0.52
2021-04-11 17:43:14,585,50,66,85,-14.409400000000028,0.3999999999999999
2021-04-11 17:43:14,604,50,66,85,-14.329400000000028,0.3999999999999999
2021-04-11 17:43:14,622,50,66,85,-14.235800000000028,0.52
2021-04-11 17:43:14,641,50,66,85,-14.148400000000027,0.45999999999999996
2021-04-11 17:43:14,658,50,66,85,-14.049800000000028,0.5800000000000001
2021-04-11 17:43:14,676,50,66,85,-13.956200000000027,0.52
